User_ID,Age_Group,Gender,Location,Device_Type,Social_Media_Platform,Two_Factor_Authentication,Saved_Password,Account_Privacy,Frequent_New_Device_Logging,Connection_Type,Time_of_Day,Payment_Mode,Cross_Channel_Usage,Season,Suspicious_Activity,Clicked_Ad,Ad_Platform,Ad_Target_Domain,Domain_Reputation,Domain_Length,Domain_Entropy,Click_Leads_To_Malicious_Site
1,35-44,Female,Jharkhand,Mobile,Twitter,Yes,No,Private,No,Open WiFi,Evening,Digital Wallet,Yes,Holi,1,Yes,Instagram,banking.example,Good,15,3.507,0
2,18-24,Female,Uttar Pradesh,Mobile,Facebook,Yes,Yes,Private,No,Private,Morning,Digital Wallet,No,Diwali,1,No,,,,0,0,0
3,35-44,Other,Gujarat,Mobile,Instagram,Yes,Yes,Public,No,Private,Night,Credit Card,No,navaratri,0,No,,,,0,0,0
4,18-24,Female,Uttar Pradesh,Tablet,WhatsApp,Yes,Yes,Public,No,Open WiFi,Afternoon,UPI,Yes,summer vacations,0,No,,,,0,0,0
5,25-34,Female,Rajasthan,Mobile,WhatsApp,Yes,Yes,Private,No,Private,Morning,Cash,Yes,Holi,0,Yes,LinkedIn,ecommerce.com,Good,13,2.449,0
6,35-44,Male,Gujarat,Mobile,Twitter,Yes,No,Public,No,Open WiFi,Evening,Credit Card,No,summer vacations,0,Yes,WhatsApp,promo-deals.xyz,Suspicious,15,3.774,1
7,45-54,Male,Rajasthan,Desktop,Twitter,Yes,No,Private,No,Private,Evening,Credit Card,Yes,winter vacation,0,Yes,Instagram,ecommerce.com,Good,13,2.449,0
8,18-24,Male,Kerala,Mobile,WhatsApp,Yes,No,Private,Yes,Private,Morning,UPI,No,Diwali,0,Yes,WhatsApp,offers-shop.co,Suspicious,14,3.182,0
9,18-24,Male,Odisha,Desktop,WhatsApp,Yes,Yes,Private,No,Private,Night,UPI,Yes,navaratri,0,No,,,,0,0,0
10,35-44,Male,Karnataka,Mobile,Twitter,Yes,Yes,Public,No,Private,Evening,Digital Wallet,Yes,Diwali,1,No,,,,0,0,0
11,18-24,Male,West Bengal,Tablet,Instagram,Yes,No,Private,Yes,Private,Evening,Credit Card,Yes,winter vacation,1,Yes,Facebook,banking.example,Good,15,3.507,0
12,25-34,Female,Andhra Pradesh,Tablet,WhatsApp,Yes,No,Public,No,Hotspot,Evening,Digital Wallet,Yes,Diwali,0,No,,,,0,0,0
13,45-54,Female,Uttar Pradesh,Mobile,LinkedIn,No,No,Private,Yes,Open WiFi,Evening,UPI,Yes,Diwali,0,No,,,,0,0,0
14,45-54,Male,Bihar,Desktop,Twitter,Yes,Yes,Public,No,Private,Night,Credit Card,Yes,winter vacation,0,No,,,,0,0,0
15,45-54,Male,Madhya Pradesh,Mobile,WhatsApp,Yes,No,Public,No,Private,Morning,Cash,No,Diwali,1,No,,,,0,0,0
16,18-24,Female,Karnataka,Tablet,WhatsApp,Yes,No,Private,No,Private,Afternoon,UPI,Yes,Holi,0,No,,,,0,0,0
17,35-44,Female,Uttar Pradesh,Mobile,LinkedIn,No,Yes,Private,No,Private,Night,UPI,Yes,summer vacations,0,No,,,,0,0,0
18,25-34,Male,Uttar Pradesh,Tablet,Twitter,Yes,No,Public,No,Private,Afternoon,Digital Wallet,Yes,Holi,0,Yes,WhatsApp,ecommerce.com,Good,13,2.449,0
19,18-24,Male,Uttar Pradesh,Tablet,LinkedIn,Yes,No,Private,No,Private,Afternoon,Digital Wallet,No,winter vacation,0,Yes,LinkedIn,promo-deals.xyz,Suspicious,15,3.774,1
20,35-44,Male,Uttar Pradesh,Mobile,Instagram,Yes,No,Private,No,Private,Evening,Debit Card,No,Diwali,1,Yes,Instagram,unknown-redirect.net,Suspicious,20,3.484,1
21,18-24,Male,Maharashtra,Mobile,LinkedIn,Yes,No,Private,No,Private,Afternoon,Debit Card,No,navaratri,0,Yes,WhatsApp,phishingsite.ru,Malicious,15,3.323,1
22,35-44,Male,Telangana,Mobile,Twitter,Yes,Yes,Private,No,Private,Morning,Debit Card,Yes,Holi,0,Yes,WhatsApp,promo-deals.xyz,Suspicious,15,3.774,0
23,45-54,Female,Odisha,Tablet,WhatsApp,Yes,Yes,Private,No,Hotspot,Afternoon,Cash,Yes,summer vacations,0,No,,,,0,0,0
24,35-44,Female,Telangana,Mobile,Instagram,Yes,No,Private,Yes,Private,Evening,Debit Card,Yes,winter vacation,0,No,,,,0,0,0
25,25-34,Male,Tamil Nadu,Mobile,LinkedIn,Yes,No,Private,No,Private,Morning,Credit Card,No,summer vacations,0,Yes,LinkedIn,ecommerce.com,Good,13,2.449,0
26,18-24,Male,Assam,Mobile,WhatsApp,Yes,Yes,Private,No,Private,Morning,UPI,Yes,summer vacations,0,No,,,,0,0,0
27,25-34,Female,Rajasthan,Mobile,Instagram,Yes,Yes,Private,No,Private,Afternoon,Digital Wallet,Yes,navaratri,0,No,,,,0,0,0
28,45-54,Female,Kerala,Mobile,Instagram,No,No,Public,No,Private,Evening,UPI,Yes,navaratri,0,Yes,LinkedIn,ecommerce.com,Good,13,2.449,1
29,35-44,Male,West Bengal,Mobile,Facebook,Yes,Yes,Private,No,Private,Afternoon,Cash,No,Diwali,0,Yes,LinkedIn,ecommerce.com,Good,13,2.449,0
30,18-24,Female,Rajasthan,Mobile,LinkedIn,No,No,Private,No,Open WiFi,Morning,Digital Wallet,No,summer vacations,0,No,,,,0,0,0
31,18-24,Female,Maharashtra,Desktop,Facebook,Yes,Yes,Private,Yes,Open WiFi,Afternoon,Credit Card,Yes,summer vacations,0,No,,,,0,0,0
32,35-44,Male,West Bengal,Tablet,WhatsApp,Yes,Yes,Public,No,Hotspot,Evening,Debit Card,No,summer vacations,1,No,,,,0,0,0
33,18-24,Male,Assam,Tablet,Instagram,Yes,Yes,Public,No,Private,Morning,Digital Wallet,No,Holi,1,Yes,LinkedIn,banking.example,Good,15,3.507,0
34,18-24,Female,Karnataka,Mobile,LinkedIn,Yes,Yes,Public,No,Private,Morning,Digital Wallet,Yes,navaratri,0,Yes,WhatsApp,ecommerce.com,Good,13,2.449,0
35,18-24,Male,Uttar Pradesh,Mobile,Instagram,No,No,Public,No,Hotspot,Evening,Digital Wallet,Yes,summer vacations,0,Yes,Twitter,login-secure.ru,Malicious,15,3.507,1
36,25-34,Male,Telangana,Mobile,LinkedIn,Yes,No,Private,No,Private,Afternoon,Debit Card,Yes,winter vacation,1,No,,,,0,0,0
37,35-44,Female,Uttar Pradesh,Mobile,Facebook,Yes,No,Public,No,Private,Morning,Digital Wallet,No,Diwali,1,Yes,Instagram,banking.example,Good,15,3.507,1
38,25-34,Male,Tamil Nadu,Mobile,Facebook,Yes,No,Public,Yes,Open WiFi,Night,Digital Wallet,No,summer vacations,0,No,,,,0,0,0
39,18-24,Female,Madhya Pradesh,Desktop,Facebook,Yes,Yes,Private,No,Open WiFi,Afternoon,Debit Card,No,navaratri,1,No,,,,0,0,0
40,18-24,Male,Uttar Pradesh,Mobile,Twitter,Yes,Yes,Private,No,Hotspot,Evening,Credit Card,No,summer vacations,0,Yes,LinkedIn,offers-shop.co,Suspicious,14,3.182,0
41,18-24,Female,Gujarat,Desktop,Twitter,Yes,No,Private,No,Private,Morning,Cash,Yes,Diwali,0,No,,,,0,0,0
42,45-54,Male,Uttar Pradesh,Mobile,Twitter,No,No,Private,Yes,Private,Evening,Debit Card,No,summer vacations,0,Yes,LinkedIn,discounts.online,Suspicious,16,3.328,0
43,25-34,Female,Uttar Pradesh,Mobile,WhatsApp,Yes,No,Private,No,Hotspot,Afternoon,Debit Card,Yes,Holi,0,Yes,WhatsApp,banking.example,Good,15,3.507,0
44,25-34,Female,Uttar Pradesh,Desktop,Instagram,Yes,No,Private,No,Private,Night,Credit Card,Yes,Holi,0,Yes,Twitter,ecommerce.com,Good,13,2.449,0
45,18-24,Male,Telangana,Mobile,WhatsApp,Yes,No,Private,Yes,Private,Night,UPI,Yes,navaratri,0,No,,,,0,0,0
46,18-24,Male,Gujarat,Mobile,LinkedIn,No,Yes,Private,No,Private,Afternoon,Credit Card,Yes,Holi,0,Yes,Facebook,discounts.online,Suspicious,16,3.328,1
47,45-54,Female,Telangana,Mobile,Facebook,Yes,Yes,Private,No,Private,Afternoon,UPI,No,summer vacations,1,No,,,,0,0,0
48,35-44,Female,Bihar,Mobile,Twitter,No,No,Private,No,Private,Night,Digital Wallet,No,navaratri,0,Yes,Facebook,discounts.online,Suspicious,16,3.328,1
49,45-54,Male,Uttar Pradesh,Mobile,WhatsApp,Yes,No,Private,No,Hotspot,Morning,Credit Card,Yes,summer vacations,0,Yes,Facebook,login-secure.ru,Malicious,15,3.507,1
